date,organization,spend_amount,topic
06-24-2025,PURDUE UNIVERSITY,2460613.06,energy infrastructure
06-24-2025,PURDUE UNIVERSITY,2930740.0,energy infrastructure
06-20-2025,PURDUE UNIVERSITY,1092820.0,energy infrastructure
06-18-2025,UNIVERSITY OF NOTRE DAME DU LAC,1840000.0,energy infrastructure
06-18-2025,COUNTY OF ALLEN,869339.0,energy infrastructure
06-16-2025,"REAL ALLOY RECYCLING, LLC.",67314320.0,energy infrastructure
06-16-2025,PURDUE UNIVERSITY,1894252.0,energy infrastructure
06-13-2025,UNIVERSITY OF NOTRE DAME DU LAC,874999.0,energy infrastructure
06-12-2025,PURDUE UNIVERSITY,1053803.7,energy infrastructure
06-10-2025,PURDUE UNIVERSITY,4212573.0,energy infrastructure
06-09-2025,MATCHBOOK LEARNING SCHOOLS OF INDIANA INC,5031676.0,energy infrastructure
06-06-2025,PURDUE UNIVERSITY,750000.0,energy infrastructure
06-05-2025,UNIVERSITY OF NOTRE DAME DU LAC,2487980.0,energy infrastructure
06-05-2025,TRUSTEES OF INDIANA UNIVERSITY,875000.0,energy infrastructure
06-04-2025,CHILDRENS MUSEUM OF INDIANAPOLIS INC,285500.0,energy infrastructure
06-01-2025,TRUSTEES OF INDIANA UNIVERSITY,1150000.0,energy infrastructure
05-29-2025,PURDUE UNIVERSITY,1506494.0,energy infrastructure
05-28-2025,HEIDELBERG MATERIALS US INC,4992811.0,energy infrastructure
05-27-2025,PURDUE UNIVERSITY,497006.34,energy infrastructure
05-27-2025,PURDUE UNIVERSITY,14320000.0,energy infrastructure
05-23-2025,TRUSTEES OF INDIANA UNIVERSITY,449848.0,energy infrastructure
05-23-2025,PURDUE UNIVERSITY,1108384.0,energy infrastructure
05-21-2025,UNIVERSITY OF NOTRE DAME DU LAC,535413.0,energy infrastructure
05-21-2025,UNIVERSITY OF NOTRE DAME DU LAC,2877398.0,energy infrastructure
05-20-2025,"DRIVE CLEAN INDIANA, INC.",220000.0,energy infrastructure
05-19-2025,CUMMINS INC,3750000.0,energy infrastructure
05-16-2025,TRUSTEES OF INDIANA UNIVERSITY,1000000.0,energy infrastructure
05-14-2025,CUMMINS ELECTRIFIED POWER NA INC.,74949917.0,energy infrastructure
05-14-2025,PURDUE UNIVERSITY,1752714.0,energy infrastructure
05-02-2025,STATE OF INDIANA,4111270.0,energy infrastructure
05-01-2025,PURDUE UNIVERSITY,2545743.0,energy infrastructure
04-29-2025,UNIVERSITY OF NOTRE DAME DU LAC,184320.0,energy infrastructure
04-28-2025,MIDCONTINENT INDEPENDENT SYSTEM OPERATOR INC,2200000.0,energy infrastructure
04-25-2025,UNIVERSITY OF NOTRE DAME DU LAC,4521000.0,energy infrastructure
04-18-2025,CUMMINS INC,2000825.0,energy infrastructure
04-11-2025,UNIVERSITY OF NOTRE DAME DU LAC,300000.0,energy infrastructure
04-07-2025,PURDUE UNIVERSITY,234000.0,energy infrastructure
04-07-2025,PURDUE UNIVERSITY,1631000.0,energy infrastructure
04-07-2025,TRUSTEES OF INDIANA UNIVERSITY,120000.0,energy infrastructure
04-04-2025,PURDUE UNIVERSITY,500000.0,energy infrastructure
04-01-2025,TRUSTEES OF INDIANA UNIVERSITY,19725000.0,energy infrastructure
03-27-2025,PURDUE UNIVERSITY,690000.0,energy infrastructure
03-25-2025,PURDUE UNIVERSITY,1440001.0,energy infrastructure
03-25-2025,PURDUE UNIVERSITY,125000.0,energy infrastructure
03-25-2025,PURDUE UNIVERSITY,15119.7,energy infrastructure
03-21-2025,TRUSTEES OF INDIANA UNIVERSITY,850000.0,energy infrastructure
03-17-2025,PURDUE UNIVERSITY,288832.0,energy infrastructure
03-17-2025,PURDUE UNIVERSITY,6300000.0,energy infrastructure
03-17-2025,TRUSTEES OF INDIANA UNIVERSITY,4531395.06,energy infrastructure
03-16-2025,PURDUE UNIVERSITY,925487.0,energy infrastructure
03-13-2025,PURDUE UNIVERSITY,299492.0,energy infrastructure
03-13-2025,TRUSTEES OF INDIANA UNIVERSITY,152887.38,energy infrastructure
03-13-2025,UNIVERSITY OF NOTRE DAME DU LAC,300000.0,energy infrastructure
02-24-2025,PURDUE UNIVERSITY,286159.92,energy infrastructure
01-23-2025,PURDUE UNIVERSITY,639830.59,energy infrastructure
01-17-2025,FCA US LLC,249999999.0,energy infrastructure
01-17-2025,CUMMINS INC,5000000.0,energy infrastructure
01-16-2025,PURDUE UNIVERSITY,800000.0,energy infrastructure
01-16-2025,PURDUE UNIVERSITY,4950.0,energy infrastructure
01-15-2025,PURDUE UNIVERSITY,3449589.0,energy infrastructure
01-13-2025,M4 SCIENCES LLC,176113.56,energy infrastructure
01-08-2025,STATE OF INDIANA,3354110.0,energy infrastructure
01-07-2025,CUMMINS INC,1250000.0,energy infrastructure
01-06-2025,PURDUE UNIVERSITY,517383.42,energy infrastructure
11-16-2024,"Apex Clean Energy, Inc",19100.0,state lobbying (energy)
11-21-2024,"Americans for Affordable Health Insurance Coalition, Inc.",2500.0,state lobbying (energy)
11-22-2024,"American Flood Coalition Action, Inc.",0.0,state lobbying (energy)
11-23-2024,Citizens Action Coalition of Indiana,10276.6,state lobbying (energy)
11-26-2024,American Bail Coalition Inc.,3320.0,state lobbying (energy)
12-05-2024,CenterPoint Energy,74550.11,state lobbying (energy)
12-07-2024,Amazon.com Services LLC,40245.8,state lobbying (energy)
12-08-2024,Coalition For Homelessness Intervention and Prevention,3000.0,state lobbying (energy)
12-09-2024,Coalition for Genetic Data Protection,14440.0,state lobbying (energy)
12-11-2024,Doral Renewables LLC,5200.0,state lobbying (energy)
12-13-2024,Coalition of Advanced Practice Nurses of Indiana,37680.0,state lobbying (energy)
12-16-2024,"Indiana Association of Soil and Water Conservation Districts, Inc.",7500.0,state lobbying (energy)
12-20-2024,Ivy Tech Community College,54880.0,state lobbying (energy)
12-24-2024,"Invenergy, LLC",20810.0,state lobbying (energy)
12-25-2024,Indiana Technology & Innovation Association,32300.0,state lobbying (energy)
01-03-2025,Indiana Propane Gas Association,17687.85,state lobbying (energy)
01-04-2025,Indiana Municipal Power Agency,27491.0,state lobbying (energy)
01-12-2025,"Indiana Minority Health Coalition, Inc.",16670.4,state lobbying (energy)
01-14-2025,Indiana Michigan Power Company,96289.2,state lobbying (energy)
01-18-2025,"Indiana Industrial Energy Consumers, Inc.",34412.15,state lobbying (energy)
01-20-2025,"Indiana Energy Association, Inc",113471.54,state lobbying (energy)
01-24-2025,Indiana Coalition to End Sexual Assault and Human Trafficking,6600.0,state lobbying (energy)
01-29-2025,Indiana Coalition for Public Education,10000.0,state lobbying (energy)
02-01-2025,Indiana Coalition Against Domestic Violence,7319.18,state lobbying (energy)
02-02-2025,Indiana Cast Metals Association,10717.0,state lobbying (energy)
02-06-2025,"Indiana Agriculture Education, Inc. dba Indiana Agriculture & Technology School",667.5,state lobbying (energy)
02-17-2025,Coalition of Growing and Suburban Schools,23000.0,state lobbying (energy)
02-18-2025,Human Coalition,705.0,state lobbying (energy)
02-19-2025,"Hoosier Energy Rural Electric Cooperative, Inc",22324.7,state lobbying (energy)
02-22-2025,Headwater Renewables LLC,19541.34,state lobbying (energy)
02-23-2025,Hallador Energy Company,0.0,state lobbying (energy)
02-28-2025,Growth Energy,2749.23,state lobbying (energy)
03-01-2025,Google LLC and its Affiliates,44400.49,state lobbying (energy)
03-11-2025,Good Trouble Coalition,3200.0,state lobbying (energy)
03-12-2025,Geenex Solar,28367.98,state lobbying (energy)
03-22-2025,Gainwell Technologies LLC,34715.0,state lobbying (energy)
03-26-2025,Energy Action Fund,2227.47,state lobbying (energy)
04-12-2025,Empower Schools,15700.0,state lobbying (energy)
04-21-2025,"EDP Renewables, North America LLC",19000.0,state lobbying (energy)
04-23-2025,Duke Energy Indiana LLC,254811.94,state lobbying (energy)
04-26-2025,"Jackson County Water Utility, Inc.",437.5,state lobbying (energy)
04-30-2025,"LS Power Midcontinent, LLC",6000.0,state lobbying (energy)
05-06-2025,"Meta Platforms, Inc.",15342.54,state lobbying (energy)
05-09-2025,Microsoft Corporation,20000.0,state lobbying (energy)
05-10-2025,"Community Solutions, Inc. Marion County Reentry Coalition",215.0,state lobbying (energy)
05-13-2025,DTE Energy Co.,2007.01,state lobbying (energy)
05-22-2025,"Alliance Coal, LLC.",799.58,state lobbying (energy)
05-25-2025,Conservatives for a Clean Energy Future,859.05,state lobbying (energy)
05-31-2025,Council for Citizens Against Government Waste (CCAGW),120180.0,state lobbying (energy)
06-07-2025,Wabash Valley Power Association,43179.0,state lobbying (energy)
06-21-2025,Vapor Technology Association,11500.0,state lobbying (energy)
07-01-2025,Vantage Data Center Management Company,11365.36,state lobbying (energy)
07-04-2025,US 30 Coalition,42000.0,state lobbying (energy)
07-05-2025,"Uber Technologies, Inc. and Affiliates",9530.0,state lobbying (energy)
07-11-2025,"U.S. 31 Coalition, Incorporated",4583.0,state lobbying (energy)
07-20-2025,"The Hoosier Coalition, Inc.",0.0,state lobbying (energy)
07-24-2025,TechNet,400.0,state lobbying (energy)
07-25-2025,Scout Clean Energy,0.0,state lobbying (energy)
08-03-2025,"RWE Clean Energy Services, LLC",430.0,state lobbying (energy)
08-06-2025,"Reliable Energy, Inc.",18056.68,state lobbying (energy)
08-24-2025,"Raptor Technologies, LLC",0.0,state lobbying (energy)
08-25-2025,"Pioneer Oil Company, Inc.",12665.4,state lobbying (energy)
09-13-2025,Peabody Energy Corp,19500.0,state lobbying (energy)
10-04-2025,Ohio Valley Electric Corporation,3750.0,state lobbying (energy)
10-05-2025,"NRG Energy, Inc.",9000.0,state lobbying (energy)
10-08-2025,"NextEra Energy Transmission, LLC",200.0,state lobbying (energy)
10-09-2025,NextEra Energy Resources,24051.95,state lobbying (energy)
10-12-2025,"National Grid Renewables Development, LLC",43117.5,state lobbying (energy)
10-15-2025,National Electrical Manufacturers Association,0.0,state lobbying (energy)
10-19-2025,Midwest Solar DevCo CEI LLC,19200.0,state lobbying (energy)
10-25-2025,"Mid-State Next Level Coalition, Inc.",17114.74,state lobbying (energy)
10-26-2025,"AES Clean Energy Development, LLC",29700.24,state lobbying (energy)
