topic,date,fr_notice_count,comment_rate_14d,under_review_count,econ_significant_flag,wh_hits,eo_hits_45d,agency_diversity,z_fr_notice,z_comment_rate,score
ai_infrastructure,2022-10-10,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-10-11,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-10-12,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-10-13,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-10-14,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-10-15,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-10-16,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-10-17,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-10-18,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-10-19,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-10-20,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-10-21,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-10-22,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-10-23,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-10-24,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-10-25,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-10-26,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-10-27,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-10-28,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-10-29,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-10-30,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-10-31,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-11-01,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-11-02,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-11-03,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-11-04,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-11-05,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-11-06,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-11-07,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-11-08,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-11-09,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-11-10,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-11-11,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-11-12,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-11-13,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-11-14,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-11-15,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-11-16,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-11-17,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-11-18,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-11-19,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-11-20,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-11-21,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-11-22,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-11-23,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-11-24,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-11-25,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-11-26,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-11-27,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-11-28,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-11-29,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-11-30,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-12-01,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-12-02,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-12-03,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-12-04,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-12-05,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-12-06,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-12-07,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-12-08,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-12-09,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
ai_infrastructure,2022-12-10,0.0,0.0,0,0,0.0,0.0,0.0,-0.1925579729082621,-0.6411327393250583,0.0
