Year,Lobbyist,Terminated,First Period Compensation,First Period Reimbursement,First Period Receptions,First Period Other Entertainment,First Period Other Gifts,First Period Expenditures All Members,First Period Gifts,"First Period Registration
Late Fees",First Period Other Expenses,First Period Total Expenditures
2025.0,"Meta Platforms, Inc.",,15129.46,13.08,0.0,0.0,0.0,0.0,0.0,200.0,0.0,15342.54
2025.0,Microsoft Corporation,,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0
2025.0,"Mid-State Next Level Coalition, Inc.",,15600.0,0.0,1514.74,0.0,0.0,0.0,0.0,0.0,0.0,17114.74
2025.0,Midwest Solar DevCo CEI LLC,,19000.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19200.0
2025.0,National Electrical Manufacturers Association,First Period,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025.0,"National Grid Renewables Development, LLC",,36187.5,0.0,6500.0,0.0,0.0,0.0,0.0,430.0,0.0,43117.5
2025.0,NextEra Energy Resources,,22800.0,1251.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24051.95
2025.0,"NextEra Energy Transmission, LLC",First Period,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
2025.0,"NRG Energy, Inc.",,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0
2025.0,Ohio Valley Electric Corporation,,3750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3750.0
2025.0,Peabody Energy Corp,,19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19500.0
2025.0,"Pioneer Oil Company, Inc.",,12665.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12665.4
2025.0,"Raptor Technologies, LLC",,,,,,,,,,,
2025.0,"Reliable Energy, Inc.",,14025.0,0.0,0.0,0.0,0.0,0.0,4031.68,0.0,0.0,18056.68
2025.0,"RWE Clean Energy Services, LLC",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,0.0,430.0
2025.0,Scout Clean Energy,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025.0,TechNet,,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
2025.0,"The Hoosier Coalition, Inc.",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025.0,"U.S. 31 Coalition, Incorporated",,4583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4583.0
2025.0,"Uber Technologies, Inc. and Affiliates",,9100.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,0.0,9530.0
2025.0,US 30 Coalition,,42000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42000.0
2025.0,Vantage Data Center Management Company,,11365.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11365.36
2025.0,Vapor Technology Association,,11500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11500.0
2025.0,Wabash Valley Power Association,,43179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43179.0
